category,star,degree,branch,code,aux_num,verse,mansion28,seven_governors
虛,計,4,卯,虛計4卯,3.0,運臨丁卯事半昌，口舌災病少吉祥。過丁交卯下五運，方保人財兩安康。,,
虛,計,5,未,虛計5未,10.0,流年月令定有衰，八月九月有禍災。若非煩惱口舌至，待交十月安泰來。,,
虛,計,6,卯,虛計6卯,1.0,四十三四吉化凶，災病口舌禍重重。晚日沉西難見影，行船又遇打頭風。,,
虛,計,8,未,虛計8未,6.0,計星過未八度纏，父母難得兩週全。父命屬羊先辭世，母命屬鼠整家園。,,
虛,計,8,卯,虛計8卯,8.0,八字刑剋天造定，分離聚散命中該。夫妻已經剋四次，五處新人到老來。,,
虛,計,10,未,虛計10未,4.0,丙日壬辰時化龍，胸藏豪氣吐長虹。必然奮志青雲上，插戴宮花四海名。,,
虛,計,13,未,虛計13未,7.0,大運交轉己未宮，職位陞遷福祿增。人才濟世家聲振，松柏青青月正明。,,
虛,計,13,亥,虛計13亥,9.0,八刻生人更非常，父入黌宮姓名揚。子扳丹桂人爭羨，腰金衣紫伴君王。,,
虛,計,14,亥,虛計14亥,5.0,計星入亥天門藏，父命屬豬號周邦。母命屬猴鵑啼早，故園花開看海棠。,,
虛,計,15,亥,虛計15亥,2.0,殿閣樓臺燕語喧，松竹茂盛青又鮮。生辰六月三十日，金風初動月鈎懸。,,
虛,氣,1,子,虛氣1子,3.0,運到甲子事多凶，災殃口舌禍患生。上五年來多不利，下五年來百事亨。,,
虛,氣,2,辰,虛氣2辰,10.0,命宮流年主不祥，二三月中心頭霜。破財口舌家不旺，必交四月大吉昌。,,
虛,氣,3,子,虛氣3子,1.0,三十七八不順情，災殃口舌事重重。雨內殘花風中燭，欲渡無船一場空。,,
虛,氣,5,辰,虛氣5辰,6.0,炁入辰宮反為殃，五度行之主悲傷。父命屬龍先剋去，母命屬鼠守孤孀。,,
虛,氣,5,子,虛氣5子,8.0,嶺上寒梅方才綻，月缺花殘淚滿衿。梧桐凋零葉落早，夫死再嫁又一新。,,
虛,氣,7,辰,虛氣7辰,4.0,丙日生人甚風流，時逢乙未過韓歐。氣吐虹霓高萬丈，蟾宮折桂步瀛洲。,,
虛,氣,9,申,虛氣9申,9.0,五刻生人貴已足，褒封榮祖世間稀。父遊泮水名初立，子息奮志虎榜題。,,
虛,氣,10,辰,虛氣10辰,7.0,運行丙辰大吉昌，職位增添價無雙。勅賜恩光封三代，廣施善政姓名揚。,,
虛,氣,11,申,虛氣11申,5.0,鼠炁交纏數不週，反被為殃宮中愁。喜到十一陰陽對，父母宮主同屬猴。,,
虛,氣,12,申,虛氣12申,2.0,薰風送暑盼金風，螳螂抱蟬弄巧能。生辰六月十五日，父母堂前長笑容。,,
虛,陰,2,丑,虛陰2丑,7.0,太陰交纏二度詳，雙親難得兩風光。父命屬牛先歸土，鼠母堂前壽延長。,,
虛,陰,4,丑,虛陰4丑,4.0,丙日戊戌時生光，獨步蟾宮折桂香。跳過禹門三級浪，果然平步上青雲。,,
虛,陰,6,巳,虛陰6巳,1.0,八刻生人喜紅鸞，父子泮宮對聖賢。文章貫通英才士，欲步天臺折桂難。,,
虛,陰,7,丑,虛陰7丑,9.0,運交癸丑非等閑，福祿蓁蓁職位遷。愛民如子真父母，清風善政萬里傳。,,
虛,陰,8,巳,虛陰8巳,6.0,太陰纏度入巽宮，過度雙女算得清。若論人間親庚相，父命屬蛇母猴庚。,,
虛,陰,9,巳,虛陰9巳,3.0,玫瑰開放朵朵紅，綠柳深處蟬聲鳴。生辰五月三十日，父母堂前長笑容。,,
虛,陰,10,酉,虛陰10酉,10.0,入宮過度六刻生，夫妻屬馬定同庚。月老注定姻緣簿，鸞鳳和鳴百年榮。,,
虛,陰,12,酉,虛陰12酉,8.0,薰風吹動半夏天，燕語鶯聲子規還。閏四月生十八日，父母堂前展笑顏。,,
虛,陰,14,酉,虛陰14酉,5.0,太陰入酉喜氣清，過度推算女命清。姐妹五人你三位，卻是一父母不同。,,
